Chamber,Candidate,selffunding,collectedfunding,overallfunding,Percentage Self-funded,Result,pervote
Senate  ,David Alameel (D-Texas)         ,5681017,43845,5724862,99.24%,Lost        ,34
House   ,Thomas MacArthur (R-NJ)         ,5000000,653128,5653128,88.45%,Won         ,59.5
House   ,Sean Eldridge (D-NY)          ,4255000,2177439,6432439,66.15%,Lost        ,35
House   ,Curt Clawson (R-Fla)          ,4017543,765114,4782657,84.01%,Won         ,65
Senate  ,David Perdue (R-Ga)           ,3905127,9937839,13842966,28.22%,Won         ,53
House   ,Dave Trott (R-Mich)           ,3623402,1385246,5008648,72.35%,Won         ,52.9
Senate  ,Terri Lynn Land (R-Mich)        ,3600000,8737161,12337161,29.19%,Lost        ,41
House   ,Doug Ose (R-Calif)           ,3441000,1704011,5145011,66.89%,Lost        ,50
Senate  ,Allen Weh (R-NM)            ,2028128,1607460,3635588,55.79%,Lost        ,45
Senate  ,Mitch McConnell (R-Ky)         ,1800000,29045825,30845825,5.84%,Won         ,56
House   ,Nan Hayworth (R-NY)           ,1642077,1808731,3450808,47.59%,Lost        ,48
Senate  ,James D Oberweis (R-Ill)        ,1639400,752375,2391775,68.55%,Lost        ,43
House   ,Mark Greenberg (R-Conn)         ,1441530,327510,1769040,81.49%,Lost        ,46
House   ,Carl Domino (R-Fla)           ,1189527,311329,1500856,79.26%,Lost        ,40
House   ,Matt Rosendale (R-Mont)         ,1126547,219763,1346310,83.68%,Lost    ,46.8
House   ,Richard W Allen (R-Ga)         ,1122895,1415576,2538471,44.24%,Won         ,55
House   ,Vance McAllister (R-La)         ,1086300,403846,1490146,72.90%,Lost        ,11
Senate  ,Ed Gillespie (R-Va)           ,1017728,6876941,7894669,12.90%,Lost        ,48
House   ,Bruce Blakeman (R-NY)          ,1015000,689184,1704184,59.56%,Lost        ,47
House   ,John K Delaney (D-Md)          ,937912,1669559,2607471,35.98%,Won         ,55.4
Senate  ,Gordon Ball (D-Tenn)          ,771382,202148,973530,79.24%,Lost        ,32
House   ,Aaron Woolf (D-NY)           ,759671,1234086,1993757,38.11%,Lost        ,34
Senate  ,Dave Domina (D-Neb)           ,574500,659398,1233898,46.56%,Lost        ,31
House   ,John Foust (D-Va)            ,543087,2479510,3022597,17.97%,Lost        ,40
House   ,Buddy Carter (R-Ga)           ,500000,1325004,1825004,27.40%,Won         ,0
House,Randy Perkins (D-Fla),10127029,711928,10838957,93.44%,Lost,43
House,Francis Rooney (R-Fla),4136754,1005980,5142734,80.44%,Won,65.9
House,Paul Mitchell (R-Mich),3607287,372071,3979358,90.65%,Won,63
House,Trey Hollingsworth (R-Ind),3142150,413974,3556124,88.36%,Won,54.3
House,Martin Babinec (3-NY),2990000,22164,3012164,99.27%,Lost,12.6
Senate,Jim Gray (D-Ky),2800073,3532115,6332188,44.22%,Lost,42.7
Senate,Patrick Murphy (D-Fla),2004909,16570823,18575732,10.80%,Lost,60
Senate,Jim Barksdale (D-Ga),2001400,2862235,4863635,41.16%,Lost,40.8
House,Glen Robertson (R-Texas),1636459,180173,1816632,90.09%,Lost,
House,Mark Freeman (R-Fla),1627756,279467,1907223,85.35%,Lost,
House,Shawn O'Connor (I-NH),1253450,249011,1502461,83.43%,Lost,9.4
Senate,John Fleming (R-La),1121000,3395668,4516668,24.82%,Lost,10.6
Senate,Napoleon Harris (D-Ill),1100000,19521,1119521,98.26%,Lost,
Senate,Rick Scott (R-Fla),63569754,21430548,85000302,74.79%,Won,50.1
Senate,Bob Hugin (R-NJ),36000000,3158866,39158866,91.94%,Lost,42.8
House,David Trone (D-Md),17913172,551409,18464581,97.02%,Won,59
House,Scott Wallace (D-Pa),12756892,1415573,14172465,90.02%,Lost,48.7
Senate,Mike Braun (R-Ind),10531496,7898776,18430272,57.15%,Won,50.7
House,Gil Cisneros (D-Calif),9252762,2859070,12111832,76.40%,Won,51.6
Senate,Shiva Ayyadurai (I-Mass),4805464,195997,5001461,96.09%,Lost,3.4
Senate,Dianne Feinstein (D-Calif),4206050,11886183,16092233,26.14%,Won,45.8
House,Mel Hall (D-Ind),3112000,991357,4103357,75.85%,Lost,45.2
House,Van Taylor (R-Texas),2387125,1393361,3780486,63.15%,Won,54.2
House,Perry Gershon (D-NY),1980997,3036364,5017361,39.49%,Lost,47.9
House,John Chrin (R-Pa),1687182,592804,2279986,74.00%,Lost,45.4
House,Thomas MacArthur (R-NJ),1360000,3365105,4725105,28.79%,Lost,54
House,Dean Phillips (D-Minn),1349561,4915680,6265241,21.55%,Won,55.6
House,Denny Wolff (D-Pa),1200071,370215,1570286,76.43%,Lost,40.3
Senate,Neal Simon (I-Md),1158921,867081,2026002,57.21%,Lost,3.7
